"Idiom","Pinyin","Letter","Explanation","Synonym"
"迟徊不决","chí huái bù jué","chi huai bu jue","犹言迟疑不决。",""
"迟徊观望","chí huái guān wàng","chi huai guan wang","犹言迟疑观望。",""
"迟回观望","chí huí guān wàng","chi hui guan wang","犹言迟疑观望。",""
"弛魂宕魄","chí hún dàng pò","chi hun dang po","形容振憾心灵。亦作驰魂夺魄”。",""
"驰魂宕魄","chí hún dàng pò","chi hun dang po","形容振撼心灵。",""
"驰魂夺魄","chí hún duó pò","chi hun duo po","形容振撼心灵。",""
"叱嗟风云","chì jiē fēng yún","chi jie feng yun","形容声势、威力极大。",""
"池酒林胾","chí jiǔ lín zì","chi jiu lin zi","胾，切成的大块肉。形容酒肉极多，生活奢侈。",""
"持久之计","chí jiǔ zhī jì","chi jiu zhi ji","持久持之以久，即长久。长久的打算或谋略。",""
"赤口白舌","chì kǒu bái shé","chi kou bai she","赤火红色。形容言语恶毒，出口伤人。",""
"赤口毒舌","chì kǒu dú shé","chi kou du she","赤：火红色。形容言语恶毒，出口伤人。",""
"持蠡测海","chí lí cè hǎi","chi li ce hai","蠡：瓠瓢，古代舀水用具。指用瓢来测量海水的深浅多少。比喻用浅薄的眼光去看待高深的事物。",""
"持论公允","chí lùn gōng yǔn","chi lun gong yun","指言论公平并合于情理。",""
"持禄养交","chí lù yǎng jiāo","chi lu yang jiao","持禄：保持禄位；养交：交结权贵。指结交权贵以保持自己的职位。",""
"迟眉钝眼","chí méi dùn yǎn","chi mei dun yan","指眼神呆滞，不灵活。",""
"驰名当世","chí míng dāng shì","chi ming dang shi","驰名声名远扬；当世当代，现今。声名在当代传播得很远。形容知名度极高。",""
"驰名天下","chí míng tiān xià","chi ming tian xia","驰传扬。形容名声传播得很远。",""
"驰名中外","chí míng zhōng wài","chi ming zhong wai","驰：传播。形容名声传播得极远。",""
"持满戒盈","chí mǎn jiè yíng","chi man jie ying","端盛满之水而留心不外溢。比喻居高位而能警戒自己不骄傲自满。",""
"驰马试剑","chí mǎ shì jiàn","chi ma shi jian","驰马骑马飞跑；试用。跑马舞剑。形容人骑马练剑习武。",""
"迟暮之年","chí mù zhī nián","chi mu zhi nian","迟暮：黄昏，比喻晚年。指人至老年。",""
"持平之论","chí píng zhī lùn","chi ping zhi lun","持平：主持公道，没有偏向。指公正的意见。也指折中、调和的话。",""
"赤贫如洗","chì pín rú xǐ","chi pin ru xi","赤贫：穷得一无所有。形容极其贫穷。",""
"持权合变","chí quán hé biàn","chi quan he bian","以权宜之计适应已经变化的局面。",""
"持人长短","chí rén cháng duǎn","chi ren chang duan","指抓住他人的缺点过失作为把柄，加以攻击。",""
"迟日旷久","chí rì kuàng jiǔ","chi ri kuang jiu","犹言旷日持久。",""
"敕始毖终","chì shǐ bì zhōng","chi shi bi zhong","自始至终警饬谨慎。",""
"赤绳系足","chì shéng jì zú","chi sheng ji zu","赤绳：红绳；系：结、扣。旧指男女双方经由媒人介绍而成亲。",""
"弛声走誉","chí shēng zǒu yù","chi sheng zou yu","指名声传扬。",""
"驰声走誉","chí shēng zǒu yù","chi sheng zou yu","指名声传扬。",""
"赤身裸体","chì shēn luǒ tǐ","chi shen luo ti","赤光着。大部分身体或全身裸露。",""
"赤身露体","chì shēn lù tǐ","chi shen lu ti","指露出大部分身子，也指全身裸露，一丝不挂。",""
"赤舌烧城","chì shé shāo chéng","chi she shao cheng","赤：火红色。赤舌如火，足以烧城。比喻毁谤或挑拔离间的话非常伤害人。",""
"赤手空拳","chì shǒu kōng quán","chi shou kong quan","赤手：空手。两手空空。比喻没有任何依靠。",""
"持橐簪笔","chí tuó zān bǐ","chi tuo zan bi","橐，口袋；簪，插。指侍从之臣携带书和笔，以备顾问。",""
"持危扶颠","chí wēi fú diān","chi wei fu dian","扶持危困的局面。",""
"赤县神州","chì xiàn shén zhōu","chi xian shen zhou","中国的别称。",""
"赤心报国","chì xīn bào guó","chi xin bao guo","赤：火红色，比喻真纯；赤心：忠心；报国：为国家效劳。旧指为帝王尽忠效劳。现亦形容赤胆忠心，为国效力。",""
"赤心相待","chì xīn xiāng dài","chi xin xiang dai","赤心：真诚的心。真心诚意对待别人。",""
"迟疑不定","chí yí bù dìng","chi yi bu ding","犹言迟疑不决。",""
"迟疑不断","chí yí bù duàn","chi yi bu duan","犹言迟疑不决。",""
"迟疑不决","chí yí bù jué","chi yi bu jue","形容拿不定主意。",""
"迟疑观望","chí yí guān wàng","chi yi guan wang","指犹豫等待，不作决定。",""
"迟疑顾望","chí yí gù wàng","chi yi gu wang","犹言迟疑观望。",""
"持盈保泰","chí yíng bǎo tài","chi ying bao tai","盈：盛满；泰：平安。旧指在富贵极盛的时候要小心谨慎，避免灾祸，以保持住原来的地位。",""
"持盈守成","chí yíng shǒu chéng","chi ying shou cheng","保持已成的盛业。",""
"迟疑未决","chí yí wèi jué","chi yi wei jue","形容拿不定主意。",""
"池鱼林木","chí yú lín mù","chi yu lin mu","比喻无辜而受连累，遭祸害。",""
"池鱼笼鸟","chí yú lóng niǎo","chi yu long niao","池里的鱼，笼里的鸟。比喻受束缚而失去自由的人。",""
"池鱼幕燕","chí yú mù yàn","chi yu mu yan","比喻处境危险极易遭殃的人。",""
"池鱼堂燕","chí yú táng yàn","chi yu tang yan","比喻无辜受祸。",""
"池鱼之祸","chí yú zhī huò","chi yu zhi huo","比喻受牵连而遭到的祸害。",""
"池鱼之虑","chí yú zhī lǜ","chi yu zhi lu","指担忧无端受累遭灾。",""
"池鱼之殃","chí yú zhī yāng","chi yu zhi yang","比喻受牵连而遭到的祸害。",""
"叱咤风云","chì zhà fēng yún","chi zha feng yun","叱咤：怒喝声。一声呼喊、怒喝，可以使风云翻腾起来。形容威力极大。",""
"持斋把素","chí zhāi bǎ sù","chi zhai ba su","把：遵守。斋：斋戒。谓信佛者遵守吃素，坚持戒律。",""
"持正不阿","chí zhèng bù ā","chi zheng bu a","持守公正正派，不迎合阿谀。",""
"驰志伊吾","chí zhì yī wú","chi zhi yi wu","伊吾，今新疆哈密。以之表示向往在边塞建功立业。",""
"持之以恒","chí zhī yǐ héng","chi zhi yi heng","持：坚持；恒：恒心。长久坚持下去。",""
"持之有故","chí zhī yǒu gù","chi zhi you gu","持：持论，主张；有故：有根据。指所持的见解和主张有一定的根据。",""
"赤子之心","chì zǐ zhī xīn","chi zi zhi xin","赤子：初生的婴儿。比喻人心地纯洁善良。",""
"齿颊挂人","chǐ jiá guà rén","chi jia gua ren","指为人们所称道。",""
"出将入相","chū jiàng rù xiàng","chu jiang ru xiang","出征可为将帅，入朝可为丞相。指兼有文武才能的人，也指文武职位都很高。",""
"齿剑如归","chǐ jiàn rú guī","chi jian ru gui","犹言视死如归。",""
"齿颊生香","chǐ jiá shēng xiāng","chi jia sheng xiang","嘴边觉有香气生出。形容谈及之事使人产生美感。",""
"楚界汉河","chǔ jiè hàn hé","chu jie han he","楚、汉相争中双方控制地区之间的地界与河流。后常比喻战争的前线。",""
"杵臼之交","chǔ jiù zhī jiāo","chu jiu zhi jiao","杵：舂米的木棒；臼：石臼。比喻交朋友不计较贫富和身分。",""
"尺籍伍符","chǐ jí wǔ fú","chi ji wu fu","指记载军令、军功的簿籍和军士中各伍互相作保的守则。",""
"吃惊受怕","chī jīng shòu pà","chi jing shou pa","受惊骇。",""
"耻居人下","chǐ jū rén xià","chi ju ren xia","以地位在人之下为耻。",""
"耻居王后","chǐ jū wáng hòu","chi ju wang hou","指在文名上耻于处在不及己者之后。",""
"吃苦耐劳","chī kǔ nài láo","chi ku nai lao","耐禁受得住。能过困苦的生活，也经得起劳累。",""
"出口成章","chū kǒu chéng zhāng","chu kou cheng zhang","说出话来就成文章。形容文思敏捷，口才好。",""
"出口入耳","chū kǒu rù ěr","chu kou ru er","指品德、才能超出同类之上。",""
"出口伤人","chū kǒu shāng rén","chu kou shang ren","说出话来污辱人；说出的话有损人的尊严。",""
"出类拔萃","chū lèi bá cuì","chu lei ba cui","拔：超出；类：同类；萃：原为草丛生的样子，引伸为聚集。超出同类之上。多指人的品德才能。",""
"侈丽闳衍","chǐ lì hóng yǎn","chi li hong yan","华丽繁富。多用以指文辞。",""
"樗栎庸材","chū lì yōng cái","chu li yong cai","樗栎：不成材的树木。比喻平庸无用的人。常用作谦词。",""
"吃里扒外","chī lǐ pá wài","chi li pa wai","接受这一方面的好处，却为那一方面卖力。也指将自己方面的情况告诉对方。",""
"吃里爬外","chī lǐ pá wài","chi li pa wai","接受这一方面的好处，却为那一方面卖力。也指将自己方面的情况告诉对方。",""
"初露锋芒","chū lù fēng máng","chu lu feng mang","比喻刚开始显示出力量或才能。",""
"齿落舌钝","chǐ luò shé dùn","chi luo she dun","指年老掉齿，说话不清楚。",""
"初露头角","chū lù tóu jiǎo","chu lu tou jiao","比喻刚刚显示出能力或才干。",""
"出卖灵魂","chū mài líng hún","chu mai ling hun","比喻以一个人的灵魂去换取荣誉、地位等。",""
"魑魅魍魉","chī mèi wǎng liǎng","chi mei wang liang","原为古代传说中的鬼怪。比喻形形色色的坏人。","魑魅罔两"
"楚梦云雨","chǔ mèng yún yǔ","chu meng yun yu","楚王梦，云雨情。后比喻男女亲昵。",""
"出门合辙","chū mén hé zhé","chu men he zhe","按同一规格，闭门造车子，用起来自然合辙。比喻才学适合社会需要。",""
"出门如宾","chū mén rú bīn","chu men ru bin","出外做事象接待贵宾那样认真谨慎。",""
"出门应辙","chū mén yīng zhé","chu men ying zhe","犹出门合辙。比喻才学适合社会需要。",""
"出没不常","chū mò bù cháng","chu mo bu chang","出现隐没都无规律，捉摸不定。",""
"出谋划策","chū móu huà cè","chu mou hua ce","谋计谋；划筹划。制定计谋策略。指为人出主意。",""
"出谋画策","chū móu huà cè","chu mou hua ce","谋：谋略。画：筹划。制定计谋策略。常指为人出主意。",""
"出谋献策","chū móu xiàn cè","chu mou xian ce","出主意、想对策来帮助解决问题。",""
"出没无常","chū mò wú cháng","chu mo wu chang","忽而出现，忽而隐没，没有一定，使人无法捉摸。",""
"鸱目虎吻","chī mù hǔ wěn","chi mu hu wen","鸱：鹞鹰，一种猛禽；吻：嘴唇边。形容人相貌阴险凶恶。",""
"楚囊之情","chǔ náng zhī qíng","chu nang zhi qing","指爱国之情。",""
"痴男怨女","chī nán yuàn nǚ","chi nan yuan nu","旧指爱恋极深但感情上得不到满足的男女。",""
"出纳之吝","chū nà zhī lìn","chu na zhi lin","舍不得拿出去，出手小气。",""
"春冰虎尾","chūn bīng hǔ wěi","chun bing hu wei","踩着老虎尾巴，走在春天将解冻的冰上。比喻处境非常危险。",""
"蠢蠢欲动","chǔn chǔn yù dòng","chun chun yu dong","蠢蠢：爬虫蠕动的样子。比喻敌人准备进攻或坏人阴谋捣乱。",""
"谄词令色","chǎn cí lìng sè","chan ci ling se","说奉承人家的话，扮作讨好人家的表情。",""
"刬草除根","chǎn cǎo chú gēn","chan cao chu gen","犹斩草除根。比喻除去祸根，以免后患。",""
"剗草除根","chǎn cǎo chú gēn","chan cao chu gen","犹斩草除根。比喻除去祸根，以免后患。",""
"刬恶锄奸","chǎn è chú jiān","chan e chu jian","铲除凶恶奸邪之人。",""
"剗恶锄奸","chǎn è chú jiān","chan e chu jian","铲除凶恶奸邪之人。",""
"出内之吝","chū nèi zhī lìn","chu nei zhi lin","舍不得拿出去，出手小气。同出纳之吝”。",""
"春风得意","chūn fēng dé yì","chun feng de yi","旧时形容考中进士后的兴奋心情。后形容职位升迁顺利。",""
"春风风人","chūn fēng fèng rén","chun feng feng ren","风人：吹拂人。和煦的春风吹拂着人们。比喻及时给人教益和帮助。",""
"春风和气","chūn fēng hé qì","chun feng he qi","春天和煦的春风吹拂着人们。比喻对人态度和蔼可亲。",""
"春风化雨","chūn fēng huà yǔ","chun feng hua yu","化：化生和养育。指适宜于草木生长的风雨。比喻良好的薰陶和教育。",""
"春风满面","chūn fēng mǎn miàn","chun feng man mian","春风：指笑容。比喻人喜悦舒畅的表情。形容和霭愉快的面容。",""
"春风夏雨","chūn fēng xià yǔ","chun feng xia yu","春风和煦，夏雨滋润，足以养育万物。常比喻及时给人以教益和帮助。",""
"春风一度","chūn fēng yī dù","chun feng yi du","度：次，回。比喻领略一番美妙的生活情趣。亦借指男女合欢。",""
"春风野火","chūn fēng yě huǒ","chun feng ye huo","比喻迅猛之势。",""
"春风沂水","chūn fēng yí shuǐ","chun feng yi shui","原意是大人和儿童在沂水洗个澡，在舞雩台上吹吹风。指放情自然，旷达高尚的生活乐趣。",""
"春风雨露","chūn fēng yǔ lù","chun feng yu lu","像春天的和风和雨滴露水那样滋润着万物的生长。旧常用以比喻恩泽。",""
"充栋汗牛","chōng dòng hàn niú","chong dong han niu","指书籍堆得高及栋梁，多至牛马运得出汗。形容藏书或著述之富。",""
"充栋盈车","chōng dòng yíng chē","chong dong ying che","堆满屋子，装满车。形容书籍很多。",""
"充耳不闻","chōng ěr bù wén","chong er bu wen","充：塞住。塞住耳朵不听。形容有意不听别人的意见。",""
"冲风冒雨","chōng fēng mào yǔ","chong feng mao yu","指不避风雨之苦。",""
"冲风破浪","chōng fēng pò làng","chong feng po lang","形容在水道中迅猛前进。",""
"冲锋陷坚","chōng fēng xiàn jiān","chong feng xian jian","犹言冲锋陷阵。",""
"冲锋陷锐","chōng fēng xiàn ruì","chong feng xian rui","犹言冲锋陷阵。",""
"冲锋陷阵","chōng fēng xiàn zhèn","chong feng xian zhen","陷：攻破，深入。不顾一切，攻入敌人陈地。形容作战勇猛。",""
"冲冠发怒","chōng guàn fā nù","chong guan fa nu","形容极为愤怒。",""
"冲冠怒发","chōng guàn nù fà","chong guan nu fa","形容极为愤怒。",""
"冲冠眦裂","chōng guàn zì liè","chong guan zi lie","形容愤怒到极点。眦裂，睁裂眼眶。",""
"冲昏头脑","chōng hūn tóu nǎo","chong hun tou nao","因胜利而头脑发热，不能总冷静思考和谨慎行事。",""
"惝恍迷离","chǎng huǎng mí lí","chang huang mi li","惝恍：也作：“惝况”，失意的样子。迷离：模糊不清。指茫然若失而模糊不清的样子。",""
"充饥画饼","chōng jī huà bǐng","chong ji hua bing","画个饼子来解饿。比喻虚有其名而无补于实际。也比喻用空想来安慰自己。",""
"冲坚毁锐","chōng jiān huǐ ruì","chong jian hui rui","冲破敌人坚固的营垒，摧毁敌人精锐的部队。形容军队锐不可当。也形容攻克难关。",""
"冲口而出","chōng kǒu ér chū","chong kou er chu","形容不加思索地说出来。",""
"充类至尽","chōng lèi zhì jìn","chong lei zhi jin","充类：推究同类事理；至尽：到极精密处。指就事理作充分的推论。",""
"宠柳娇花","chǒng liǔ jiāo huā","chong liu jiao hua","惹人宠爱的柳色、娇艳的花枝。形容春色。",""
"充闾之庆","chōng lǚ zhī qìng","chong lu zhi qing","充闾：光大门楣；庆：喜庆。能使门第光大的喜庆事。",""
"宠辱不惊","chǒng rǔ bù jīng","chong ru bu jing","宠：宠爱。受宠受辱都不在呼。指不因个人得失而动心。",""
"宠辱皆忘","chǒng rǔ jiē wàng","chong ru jie wang","受宠或受辱都毫不计较。常指一种通达的超绝尘世的态度。",""
"舂容大雅","chōng róng dà yá","chong rong da ya","指文章气度雍容，用辞典雅。",""
"宠辱若惊","chǒng rǔ ruò jīng","chong ru ruo jing","无论受宠、受辱，心里都要振动。形容人非常计较得失。",""
"充天塞地","chōng tiān sāi dì","chong tian sai di","指整个宇宙。",""
"春光漏泄","chūn guāng lòu xiè","chun guang lou xie","原指柳枝泛绿，透露了春天将至的信息。比喻秘密或男女的私情被泄漏出来。",""
"春光明媚","chūn guāng míng mèi","chun guang ming mei","明媚：美好，可爱。形容春天的景物鲜明可爱。",""
"充箱盈架","chōng xiāng yíng jià","chong xiang ying jia","充、盈满。盛满书箱，摆满书架。形容藏书丰富。",""
"冲云破雾","chōng yún pò wù","chong yun po wu","冲破云层，突破迷雾。比喻突破重重障碍和困难。",""
"冲州过府","chōng zhōu guò fǔ","chong zhou guo fu","指跑码头，闯江湖。也形容经历丰富，见过世面。",""
"冲州撞府","chōng zhōu zhuàng fǔ","chong zhou zhuang fu","冲向前直闯。州、府旧时县以上行政区划名，泛指大城市、大地方。跑码头，闯江湖。也形容经历丰富，见过世面。",""
"春寒料峭","chūn hán liào qiào","chun han liao qiao","料峭：微寒。形容初春的寒冷。",""
"春和景明","chūn hé jǐng míng","chun he jing ming","春光和煦，风景鲜明艳丽。",""
"春华秋实","chūn huá qiū shí","chun hua qiu shi","华：花。春天开花，秋天结果。比喻人的文采和德行。现也比喻学习有成果。",""
"春花秋实","chūn huā qiū shí","chun hua qiu shi","春天开花，秋天结果。比喻人的文采和德行。现也比喻学习有成果。",""
"春花秋月","chūn huā qiū yuè","chun hua qiu yue","春天的花朵，秋天的月亮。泛指春秋美景。",""
"春晖寸草","chūn huī cùn cǎo","chun hui cun cao","春晖：春天的阳光；比喻父母对儿女的慈爱抚养。寸草：一寸长的小草；比喻子女对父母的养育之恩的无限感戴心情。",""
"春回大地","chūn huí dà dì","chun hui da di","好象春天又回到大地。形容严寒已过，温暖和生机又来到人间。",""
"刬旧谋新","chǎn jiù móu xīn","chan jiu mou xin","犹除旧图新。革除旧的，谋求新的。",""
"剗旧谋新","chǎn jiù móu xīn","chan jiu mou xin","犹除旧图新。",""
"铲迹销声","chǎn jì xiāo shēng","chan ji xiao sheng","指隐藏起来，不公开露面。",""
"春兰秋菊","chūn lán qiū jú","chun lan qiu ju","春天的兰花，秋天的菊花。比喻各有值得称道的地方。",""
"春露秋霜","chūn lù qiū shuāng","chun lu qiu shuang","比喻恩泽与威严。也用在怀念先人。",""
"春梦无痕","chūn mèng wú hén","chun meng wu hen","比喻世事变幻，如春夜的梦境一样容易消逝，不留一点痕迹。",""
"春满人间","chūn mǎn rén jiān","chun man ren jian","指生机勃勃的春意充满人间。",""
"春暖花开","chūn nuǎn huā kāi","chun nuan hua kai","本指春天气候宜人，景物优美。现也比喻大好时机。",""
"春暖花香","chūn nuǎn huā xiāng","chun nuan hua xiang","形容春天美丽的景色。",""
"春葩丽藻","chūn pā lì zǎo","chun pa li zao","比喻美妙的言谈。",""
"春秋笔法","chūn qiū bǐ fá","chun qiu bi fa","指寓褒贬于曲折的文笔之中。",""
"春秋鼎盛","chūn qiū dǐng shèng","chun qiu ding sheng","春秋：指年龄；鼎盛：正当旺盛之时。比喻正当壮年。",""
"春去秋来","chūn qù qiū lái","chun qu qiu lai","春天过去，秋天到来。形容时光流逝。",""
"冁然而笑","chǎn rán ér xiào","chan ran er xiao","冁然：笑的样子。高兴地笑起来。",""
"春色撩人","chūn sè liáo rén","chun se liao ren","撩：撩拔，挑逗、招惹。春天的景色引起人们的兴致。",""
"春色满园","chūn sè mǎn yuán","chun se man yuan","园内到处都是春天美丽的景色。比喻欣欣向荣的景象。",""
"谄上傲下","chǎn shàng ào xià","chan shang ao xia","对上讨好，对下傲慢。",""
"谄上骄下","chǎn shàng jiāo xià","chan shang jiao xia","谄讨好，奉承。对上谄媚讨好，对下骄横无理。",""
"谄上欺下","chǎn shàng qī xià","chan shang qi xia","谄：讨好，奉承；欺：欺压。讨好上司，欺压下级。",""
"谄上抑下","chǎn shàng yi xià","chan shang yi xia","讨好上司，欺压下级。",""
"春山如笑","chūn shān rú xiào","chun shan ru xiao","形容春天的山色明媚。",""
"春生秋杀","chūn shēng qiū shā","chun sheng qiu sha","春天万物萌生，秋天万物凋零。",""
"春深似海","chūn shēn sì hǎi","chun shen si hai","春天美丽的景色像大海一样深广。形容到处充满了明媚的春光。",""
"春蛇秋蚓","chūn shé qiū yǐn","chun she qiu yin","比喻字写得不好，弯弯曲曲，象蚯蚓和蛇爬行的痕迹。",""
"春树暮云","chūn shù mù yún","chun shu mu yun","表示对远方友人的思念。",""
"春笋怒发","chūn sǔn mù fā","chun sun mu fa","春天的竹笋迅速茂盛地生长。比喻好事层出不穷地产生。",""
"春诵夏弦","chūn sòng xià xián","chun song xia xian","诵、弦：古代学校里读诗，只口诵的叫“诵”，用乐器配合的叫“弦”。原指应根据季节采取不同的学习方式。后泛指读书、学习。",""
"椿庭萱室","chūn tíng xuān shì","chun ting xuan shi","指父母。",""
"出奴入主","chū nú rù zhǔ","chu nu ru zhu","指挟门户成见。",""
"春蛙秋蝉","chūn wā qiū chán","chun wa qiu chan","春天蛙叫，秋天蝉鸣。比喻喧闹夸张、空洞无物的言谈。",""
"谄笑胁肩","chǎn xiào xié jiān","chan xiao xie jian","讨好地强装笑脸，缩敛肩膀。形容阿谀逢迎的丑态。",""
"春宵一刻","chūn xiāo yī kè","chun xiao yi ke","欢娱难忘的美好时刻。",""
"椿萱并茂","chūn xuān bìng mào","chun xuan bing mao","椿：多年生落叶乔木；萱：古人以为可以使人忘忧的萱草。椿萱：喻父母，古称父为“椿庭”，母为“萱堂”。比喻父母健在。",""
"阐扬光大","chǎn yáng guāng dà","chan yang guang da","发扬光大。指使美好的事物在原来基础上不断发展、扩大和提高。",""
"春意盎然","chūn yì àng rán","chun yi ang ran","春意：春天的气象。盎然：丰满、浓厚的样子。形容春天的气氛很浓。",""
"春意阑珊","chūn yì lán shān","chun yi lan shan","阑珊：将尽，将衰。指春天就要过去了。",""
"春蚓秋蛇","chūn yǐn qiū shé","chun yin qiu she","比喻字写得不好，弯弯曲曲，象蚯蚓和蛇爬行的痕迹。",""
"春雨如油","chūn yǔ rú yóu","chun yu ru you","春雨贵如油。形容春雨可贵。",""
"阐幽抉微","chǎn yōu jué wēi","chan you jue wei","指阐明幽隐，抉发精微。",""
"阐幽明微","chǎn yōu míng wēi","chan you ming wei","使幽深隐微的事物或道理显露出来。",""
"谄谀取容","chǎn yú qǔ róng","chan yu qu rong","谄谀谄媚，阿谀；容脸色。谄谀巴结有权势的人，以求得他们的欢喜。",""
"炒买炒卖","chǎo mǎi chǎo mài","chao mai chao mai","指就地迅速转手买卖，从中牟利。",""
"崇本抑末","chóng běn yì mò","chong ben yi mo","注重根本，轻视枝末。古代本”多指农业，末”多指工商业。",""
"虫臂鼠肝","chóng bì shǔ gān","chong bi shu gan","比喻极微小而无价值的东西。",""
"重操旧业","chóng cāo jiù yè","chong cao jiu ye","指再做以前曾做的事。",""
"重床叠架","chóng chuáng dié jià","chong chuang die jia","比喻重复繁多。",""
"重床迭架","chóng chuáng dié jià","chong chuang die jia","比喻重复繁多。",""
"重床叠屋","chóng chuáng dié wū","chong chuang die wu","比喻重复繁多。",""
"重床迭屋","chóng chuáng dié wū","chong chuang die wu","比喻重复繁多。同重床迭架”。",""
"重蹈覆辙","chóng dǎo fù zhé","chong dao fu zhe","蹈：踏；覆：翻；辙：车轮辗过的痕迹。重新走上翻过车的老路。比喻不吸取教训，再走失败的老路。",""
"重睹天日","chóng dǔ tiān rì","chong du tian ri","比喻脱离黑暗，重见光明。",""
"重光累洽","chóng guāng lèi qià","chong guang lei qia","指前后功绩相继，累世升平。",""
"重关击柝","chóng guān jī tuò","chong guan ji tuo","设置重门，击柝（木梆）巡夜。指警戒森严。",""
"重规叠矩","chóng guī dié jǔ","chong gui die ju","规与规相重，矩与矩相迭。指前后相合，重叠的规矩与制度。比喻因袭、重复。",""
"重规迭矩","chóng guī dié jǔ","chong gui die ju","规与规相重，矩矩与相迭，度数相同，完全符合。原比喻动静合乎法度或上下相合，后形容模仿、重复。",""
"重圭叠组","chóng guī dié zǔ","chong gui die zu","指世代连续做官。",""
"重珪叠组","chóng guī dié zǔ","chong gui die zu","指世代连续做官。",""
"重珪迭组","chóng guī dié zǔ","chong gui die zu","指世代连续做官。",""
"重规累矩","chóng guī lèi jǔ","chong gui lei ju","指前后相合，合乎同样的规矩法度。亦比喻因袭、重复。",""
"重规沓矩","chóng guī tà jǔ","chong gui ta ju","指前后相合，合乎同样的规矩法度。亦比喻因袭、重复。",""
"重规袭矩","chóng guī xí jǔ","chong gui xi ju","指前后相合，合乎同样的规矩法度。亦比喻因袭、重复。",""
"重见天日","chóng jiàn tiān rì","chong jian tian ri","重新看到了天和太阳。比喻脱离黑暗，重见光明。",""
"重迹屏气","chóng jì bǐng qì","chong ji bing qi","指畏惧之甚。",""
"重金兼紫","chóng jīn jiān zǐ","chong jin jian zi","指一门中有数人佩金印紫绶，极言荣显。秦汉列侯以上皆金印紫绶。",""
"重金袭汤","chóng jīn xí tāng","chong jin xi tang","指几重金城汤池，防守非常坚固。",""
"重理旧业","chóng lǐ jiù yè","chong li jiu ye","指再做以前曾做的事。",""
"重峦叠巘","chóng luán dié yǎn","chong luan die yan","形容山岭重重叠叠，连绵不断。同重峦叠嶂”。",""
"重峦迭巘","chóng luán dié yǎn","chong luan die yan","山峰一个连着一个，连绵不断。同重峦迭嶂”。",""
"重峦叠嶂","chóng luán dié zhàng","chong luan die zhang","峦：连绵的山。山峰一个连着一个，连绵不断。",""
"重峦迭嶂","chóng luán dié zhàng","chong luan die zhang","峦连绵的山。山峰一个连着一个，连绵不断。",""
"重峦复嶂","chóng luán fù zhàng","chong luan fu zhang","形容山岭重重叠叠，连绵不断。同重峦叠嶂”。",""
"崇论吰议","chóng lùn hóng yì","chong lun hong yi","指高明卓越的议论。同崇论闳议”。",""
"崇论宏议","chóng lùn hóng yì","chong lun hong yi","崇高；宏大。指高明宏大越的议论或见解。",""
"崇论豠议","chóng lùn hóng yì","chong lun hong yi","指高明卓越的议论。同崇论闳议”。",""
"崇论闳议","chóng lùn hóng yì","chong lun hong yi","崇：高；闳：宏大。指高明卓越的议论。",""
"重门击柝","chóng mén jī tuò","chong men ji tuo","柝：打更用的梆子。设置重重门户，并派更夫巡夜。指严加戒备，以防不测。",""
"重明继焰","chóng míng jì yàn","chong ming ji yan","指光焰相继，长明不息。",""
"重葩累藻","chóng pā lèi zǎo","chong pa lei zao","比喻许多华丽的篇章。",""
"重纰貤缪","chóng pī yí miù","chong pi yi miu","指谬误重出。",""
"重起炉灶","chóng qǐ lú zào","chong qi lu zao","指事情遭受挫折后，再从头做起。",""
"重三叠四","chóng sān dié sì","chong san die si","形容多次重复。",""
"重三迭四","chóng sān dié sì","chong san die si","形容多次重复。",""
"重山复岭","chóng shān fù lǐng","chong shan fu ling","指山峦重叠层接。",""
"重山复水","chóng shān fù shuǐ","chong shan fu shui","指山峦重叠，水流盘曲。",""
"崇山峻岭","chóng shān jùn lǐng","chong shan jun ling","崇：高；峻：山高而陡。高大险峻的山岭。",""
"重山峻岭","chóng shān jùn lǐng","chong shan jun ling","连绵起伏的高山。",""
"虫沙猿鹤","chóng shā yuán hè","chong sha yuan he","旧时比喻战死的将士。也指死于战乱的人。",""
"重生父母","chóng shēng fù mǔ","chong sheng fu mu","指对自己有重大恩情的人，多指救命的恩人。","重生爷娘"
"重手累足","chóng shǒu lěi zú","chong shou lei zu","两手相重，两足相叠，不敢有所举动。形容十分恐惧的样子。",""
"重温旧梦","chóng wēn jiù mèng","chong wen jiu meng","比喻再经历一次过去的光景。",""
"重温旧业","chóng wēn jiù yè","chong wen jiu ye","指再做以前曾做的事。",""
"重熙累绩","chóng xī lěi jì","chong xi lei ji","形容累世圣明有德，天下升平昌盛。同重熙累洽”。",""
"重熙累洽","chóng xī lěi qià","chong xi lei qia","熙：光明；洽：谐和。指国家接连几代太平安乐。",""
"重熙累盛","chóng xī lěi shèng","chong xi lei sheng","形容累世圣明有德，天下升平昌盛。同重熙累洽”。",""
"重熙累叶","chóng xī lěi yè","chong xi lei ye","形容累世圣明有德，天下升平昌盛。同重熙累洽”。",""
"重兴旗鼓","chóng xīng qí gǔ","chong xing qi gu","犹言重整旗鼓。",""
"重岩叠嶂","chóng yán dié zhàng","chong yan die zhang","形容山岭重重叠叠，连绵不断。",""
"重岩叠障","chóng yán dié zhàng","chong yan die zhang","山峰一个连着一个，连绵不断。",""
"重岩迭障","chóng yán dié zhàng","chong yan die zhang","山峰一个连着一个，连绵不断。",""
